OBJECTID,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,COLOUR_1,COLOUR_2,CONSIS_DRY,CONSIS_MST,CONSIS_PLS,CONSIS_WET,MOTTLE_FRQ,MOTTLE_SZE,ROOT_FREQ,ROOT_LOCTN,ROOT_ORIEN,ROOT_THICK,S_PRM_GRAD,S_PRM_KIND,S_PRM_MOD,S_PRM_SIZE,S_SEC_GRAD,S_SEC_KIND,S_SEC_MOD,S_SEC_SIZE,SALINITY,EFFERVESC
1,10,1,0,7,100yr2020," ",Soft," "," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," "," "
2,10,2,7,12,100yr4020," ","Slightly hard"," "," "," "," "," "," "," "," "," ",Weak,Platy," ",Fine," "," "," "," "," "," "
3,10,3,12,17,100yr5020," ","Slightly hard"," "," "," "," "," "," "," "," "," ",Moderate,Platy," ",Fine," "," "," "," "," "," "
4,10,4,17,26,100yr3020," ","Very hard"," "," "," "," "," "," "," "," "," "," ",Columnar," ",Medium," "," "," "," "," "," "
5,10,5,26,38,100yr3020," ","Very hard"," "," "," "," "," "," "," "," "," "," ","Sub-angular blocky"," ","Medium to coarse"," "," "," "," "," "," "
6,10,6,38,61,100yr4030," ",Hard," "," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Fine," "," "," "," "," "," "
7,10,7,61,79,100yr4025," ",Hard," "," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Fine," "," "," "," "," "," "
8,10,8,79," ","025y 3020"," ",Hard," "," "," "," "," "," "," "," "," "," ","Angular blocky"," "," "," "," "," "," "," "," "
9,1090,1,0,10,100yr4020," "," ",Loose," "," "," "," "," "," "," "," ",Weak,Platy," "," "," "," "," "," "," "," "
10,1090,2,10,36,100yr5030," "," "," "," "," "," "," "," "," "," "," ",Weak,Platy," "," "," "," "," "," "," "," "
11,1090,3,36,51,100yr6030," "," "," "," "," "," "," "," "," "," "," "," ",Platy," "," "," "," "," "," "," "," "
12,1090,4,51,66,100yr4040," "," "," "," "," "," "," "," "," "," "," ",Strong,"Sub-angular blocky"," "," "," "," "," "," "," "," "
13,1090,5,66,91,100yr5050," "," "," "," "," "," "," "," "," "," "," ",Weak,"Sub-angular blocky"," "," "," "," "," "," "," "," "
14,1090,6,91,122,100yr5040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
15,1090,7,122,178,100yr6030," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
16,1101,1,0,14,100yr6030," "," ",Loose," "," "," "," "," "," "," "," ","Very weak",Platy," "," "," "," "," "," "," "," "
17,1101,2,14,20,100yr4040," "," ","Very firm"," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
18,1101,3,20,38,100yr5040," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
19,1101,4,38,60,100yr6030," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
20,1101,5,60,84,100yr5030," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
21,1114,1,0,10,100yr4010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
22,1114,2,10,51,100yr6040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
23,1114,3,51,91,100yr5030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
24,1114,4,91,152,100yr5040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
25,1114,5,152,213,025yr7040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
26,1125,1,0,46,100yr3020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
27,1125,2,46,81,100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
28,1125,3,81,102,100yr4040," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
29,1125,4,102,178,100yr5040," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
30,1125,5,178,203,100yr5030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
31,1136,1,0,33,100yr3010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
32,1136,2,33,48,100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
33,1136,3,48,56,100yr6020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
34,1136,4,56,102,100yr5040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
35,1136,5,102,127,100yr5050," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
36,1136,6,127,157,100yr5030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
37,1147,1,0,36,100yr3010," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
38,1147,2,36,51,100yr4030," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
39,1147,3,51,71,100yr4040," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
40,1147,4,71,97,"025y 5040"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
41,1147,5,97,127,"025y 4020"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
42,1147,6,127,152,100yr4020," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
43,1191,1,0,38,100yr3010," "," ",Loose," "," "," "," "," "," "," "," ",Weak,Prismatic," "," "," "," "," "," "," "," "
44,1191,2,38,46,100yr4020," "," "," "," "," "," "," "," "," "," "," ","Very weak",Platy," "," "," "," "," "," "," "," "
45,1191,3,46,76,100yr5040," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
